tx ty tz
17.1991 -0.697751 0.247209
17.3616 -0.639469 0.243257
17.5446 -0.540098 0.255155
17.7323 -0.448048 0.254278
17.9115 -0.361167 0.245691
18.0906 -0.271123 0.24374
18.2643 -0.180376 0.245166
18.4484 -0.083469 0.2449
18.6347 0.0105934 0.250608
18.8167 0.0963249 0.253634
18.994 0.1879 0.263512
19.1849 0.263506 0.259588
19.3601 0.363435 0.277087
19.5428 0.443343 0.261796
19.7137 0.534279 0.26693
19.8993 0.627675 0.25758
20.083 0.716727 0.254639
20.2662 0.805116 0.264395
20.4533 0.891596 0.254334
20.6358 0.953028 0.274725
20.8253 1.0513 0.273775
21.0096 1.13374 0.264169
21.192 1.21102 0.262214
21.378 1.28511 0.268572
21.5671 1.3494 0.268917
